cores,executor_memory_size,driver_memory_size,instances,model_type,max_iter,parallelism,max_memory,accuracy,training_time,prediction_time,total_time,max_depth,max_bins
2,1000,10000,1,logistic,10,1,500,50,503,9,601,,
2,1000,10000,1,gbt,10,1,500,50,3222,164,3474,3.0,16.0
2,1000,16000,1,logistic,10,1,500,50,692,9,815,,
2,1000,16000,1,gbt,10,1,500,50,3288,166,3542,3.0,16.0
2,2000,1000,1,logistic,10,1,500,50,538,10,642,,
2,2000,1000,1,gbt,10,1,500,50,3222,167,3525,3.0,16.0
2,2000,2000,1,logistic,10,1,500,50,796,9,968,,
2,2000,2000,1,gbt,10,1,500,50,3282,159,3559,3.0,16.0
2,2000,4000,1,logistic,10,1,500,50,753,9,854,,
2,2000,4000,1,gbt,10,1,500,50,3326,161,3616,3.0,16.0
2,2000,6000,1,logistic,10,1,500,50,529,10,636,,
2,2000,6000,1,gbt,10,1,500,50,3465,168,3727,3.0,16.0
2,2000,10000,1,logistic,10,1,500,50,625,14,759,,
2,2000,10000,1,gbt,10,1,500,50,3263,162,3510,3.0,16.0
2,2000,16000,1,logistic,10,1,500,50,532,9,627,,
2,2000,16000,1,gbt,10,1,500,50,3273,162,3522,3.0,16.0
2,4000,1000,1,logistic,10,1,500,50,498,9,591,,
2,4000,1000,1,gbt,10,1,500,50,3281,158,3566,3.0,16.0
2,4000,2000,1,logistic,10,1,500,50,614,9,760,,
2,4000,2000,1,gbt,10,1,500,50,3356,171,3621,3.0,16.0
2,4000,4000,1,logistic,10,1,500,50,754,9,854,,
2,4000,4000,1,gbt,10,1,500,50,3341,168,3627,3.0,16.0
2,4000,6000,1,logistic,10,1,500,50,659,11,760,,
2,4000,6000,1,gbt,10,1,500,50,3418,161,3666,3.0,16.0
2,4000,10000,1,logistic,10,1,500,50,664,10,814,,
2,4000,10000,1,gbt,10,1,500,50,3312,158,3556,3.0,16.0
2,4000,16000,1,logistic,10,1,500,50,532,10,631,,
2,4000,16000,1,gbt,10,1,500,50,3276,161,3571,3.0,16.0
2,6000,1000,1,logistic,10,1,500,50,476,10,628,,
2,6000,1000,1,gbt,10,1,500,50,3268,159,3520,3.0,16.0
2,6000,2000,1,logistic,10,1,500,50,614,9,728,,
2,6000,2000,1,gbt,10,1,500,50,3380,168,3659,3.0,16.0
2,6000,4000,1,logistic,10,1,500,50,562,9,659,,
2,6000,4000,1,gbt,10,1,500,50,3301,166,3564,3.0,16.0
2,6000,6000,1,logistic,10,1,500,50,720,13,825,,
2,6000,6000,1,gbt,10,1,500,50,3329,154,3567,3.0,16.0
2,6000,10000,1,logistic,10,1,500,50,725,13,851,,
2,6000,10000,1,gbt,10,1,500,50,3347,171,3616,3.0,16.0
2,6000,16000,1,logistic,10,1,500,50,744,9,913,,
2,6000,16000,1,gbt,10,1,500,50,3343,165,3646,3.0,16.0
2,10000,1000,1,logistic,10,1,500,50,554,12,663,,
2,10000,1000,1,gbt,10,1,500,50,3372,161,3630,3.0,16.0
2,10000,2000,1,logistic,10,1,500,50,705,9,815,,
2,10000,2000,1,gbt,10,1,500,50,3365,167,3668,3.0,16.0
2,10000,4000,1,logistic,10,1,500,50,825,11,924,,
2,10000,4000,1,gbt,10,1,500,50,3522,159,3771,3.0,16.0
2,10000,6000,1,logistic,10,1,500,50,776,14,884,,
2,10000,6000,1,gbt,10,1,500,50,3443,158,3692,3.0,16.0
2,10000,10000,1,logistic,10,1,500,50,512,16,639,,
2,10000,10000,1,gbt,10,1,500,50,3392,161,3661,3.0,16.0
2,10000,16000,1,logistic,10,1,500,50,1101,10,1257,,
2,10000,16000,1,gbt,10,1,500,50,3460,160,3762,3.0,16.0
2,16000,1000,1,logistic,10,1,500,50,694,13,803,,
2,16000,1000,1,gbt,10,1,500,50,3374,231,3695,3.0,16.0
2,16000,2000,1,logistic,10,1,500,50,597,9,690,,
2,16000,2000,1,gbt,10,1,500,50,3291,159,3539,3.0,16.0
2,16000,4000,1,logistic,10,1,500,50,514,9,613,,
2,16000,4000,1,gbt,10,1,500,50,3392,159,3638,3.0,16.0
2,16000,6000,1,logistic,10,1,500,50,515,9,602,,
2,16000,6000,1,gbt,10,1,500,50,3261,158,3508,3.0,16.0
2,16000,10000,1,logistic,10,1,500,50,660,9,790,,
2,16000,10000,1,gbt,10,1,500,50,3305,158,3563,3.0,16.0
2,16000,16000,1,logistic,10,1,500,50,603,9,715,,
2,16000,16000,1,gbt,10,1,500,50,3255,160,3507,3.0,16.0
3,1000,1000,1,logistic,10,1,500,50,619,8,720,,
3,1000,1000,1,gbt,10,1,500,50,3372,155,3637,3.0,16.0
3,1000,2000,1,logistic,10,1,500,50,528,9,690,,
3,1000,2000,1,gbt,10,1,500,50,3361,163,3609,3.0,16.0
3,1000,4000,1,logistic,10,1,500,50,630,9,730,,
3,1000,4000,1,gbt,10,1,500,50,3390,165,3645,3.0,16.0
3,1000,6000,1,logistic,10,1,500,50,654,10,762,,
3,1000,6000,1,gbt,10,1,500,50,3269,157,3570,3.0,16.0
3,1000,10000,1,logistic,10,1,500,50,674,25,854,,
3,1000,10000,1,gbt,10,1,500,50,3320,157,3570,3.0,16.0
3,1000,16000,1,logistic,10,1,500,50,762,9,901,,
3,1000,16000,1,gbt,10,1,500,50,3400,168,3647,3.0,16.0
3,2000,1000,1,logistic,10,1,500,50,554,9,652,,
3,2000,1000,1,gbt,10,1,500,50,3320,159,3568,3.0,16.0
3,2000,2000,1,logistic,10,1,500,50,566,8,666,,
3,2000,2000,1,gbt,10,1,500,50,3346,154,3588,3.0,16.0
3,2000,4000,1,logistic,10,1,500,50,675,9,812,,
3,2000,4000,1,gbt,10,1,500,50,3331,170,3625,3.0,16.0
3,2000,6000,1,logistic,10,1,500,50,630,9,735,,
3,2000,6000,1,gbt,10,1,500,50,3321,157,3559,3.0,16.0
3,2000,10000,1,logistic,10,1,500,50,697,9,809,,
3,2000,10000,1,gbt,10,1,500,50,3634,164,3891,3.0,16.0
3,2000,16000,1,logistic,10,1,500,50,669,9,819,,
3,2000,16000,1,gbt,10,1,500,50,3337,166,3615,3.0,16.0
3,4000,1000,1,logistic,10,1,500,50,592,9,688,,
3,4000,1000,1,gbt,10,1,500,50,3293,157,3628,3.0,16.0
3,4000,2000,1,logistic,10,1,500,50,572,9,675,,
3,4000,2000,1,gbt,10,1,500,50,3379,160,3640,3.0,16.0
3,4000,4000,1,logistic,10,1,500,50,671,12,769,,
3,4000,4000,1,gbt,10,1,500,50,3335,156,3578,3.0,16.0
3,4000,6000,1,logistic,10,1,500,50,523,9,612,,
3,4000,6000,1,gbt,10,1,500,50,3419,161,3670,3.0,16.0
3,4000,10000,1,logistic,10,1,500,50,807,19,948,,
3,4000,10000,1,gbt,10,1,500,50,3354,156,3672,3.0,16.0
3,4000,16000,1,logistic,10,1,500,50,574,8,684,,
3,4000,16000,1,gbt,10,1,500,50,3557,157,3836,3.0,16.0
3,6000,1000,1,logistic,10,1,500,50,726,8,836,,
3,6000,1000,1,gbt,10,1,500,50,3404,169,3662,3.0,16.0
3,6000,2000,1,logistic,10,1,500,50,741,9,854,,
3,6000,2000,1,gbt,10,1,500,50,3447,155,3689,3.0,16.0
3,6000,4000,1,logistic,10,1,500,50,760,8,856,,
3,6000,4000,1,gbt,10,1,500,50,3583,160,3838,3.0,16.0
3,6000,6000,1,logistic,10,1,500,50,742,13,843,,
3,6000,6000,1,gbt,10,1,500,50,3496,161,3743,3.0,16.0
3,6000,10000,1,logistic,10,1,500,50,683,9,797,,
3,6000,10000,1,gbt,10,1,500,50,3263,156,3515,3.0,16.0
3,6000,16000,1,logistic,10,1,500,50,607,9,725,,
3,6000,16000,1,gbt,10,1,500,50,3215,154,3473,3.0,16.0
3,10000,1000,1,logistic,10,1,500,50,780,8,890,,
3,10000,1000,1,gbt,10,1,500,50,3260,163,3508,3.0,16.0
3,10000,2000,1,logistic,10,1,500,50,690,9,802,,
3,10000,2000,1,gbt,10,1,500,50,3233,157,3476,3.0,16.0
3,10000,4000,1,logistic,10,1,500,50,537,10,645,,
3,10000,4000,1,gbt,10,1,500,50,3231,158,3471,3.0,16.0
3,10000,6000,1,logistic,10,1,500,50,888,10,1018,,
3,10000,6000,1,gbt,10,1,500,50,3249,160,3487,3.0,16.0
3,10000,10000,1,logistic,10,1,500,50,592,9,690,,
3,10000,10000,1,gbt,10,1,500,50,3317,160,3564,3.0,16.0
3,10000,16000,1,logistic,10,1,500,50,579,9,670,,
3,10000,16000,1,gbt,10,1,500,50,3378,155,3625,3.0,16.0
3,16000,1000,1,logistic,10,1,500,50,774,9,872,,
3,16000,1000,1,gbt,10,1,500,50,3347,165,3603,3.0,16.0
3,16000,2000,1,logistic,10,1,500,50,635,8,736,,
3,16000,2000,1,gbt,10,1,500,50,3275,168,3547,3.0,16.0
3,16000,4000,1,logistic,10,1,500,50,616,9,723,,
3,16000,4000,1,gbt,10,1,500,50,3300,157,3547,3.0,16.0
3,16000,6000,1,logistic,10,1,500,50,472,8,587,,
3,16000,6000,1,gbt,10,1,500,50,3470,158,3724,3.0,16.0
3,16000,10000,1,logistic,10,1,500,50,577,8,685,,
3,16000,10000,1,gbt,10,1,500,50,3429,157,3674,3.0,16.0
3,16000,16000,1,logistic,10,1,500,50,668,9,781,,
3,16000,16000,1,gbt,10,1,500,50,3349,155,3624,3.0,16.0
4,1000,1000,1,logistic,10,1,500,50,643,9,745,,
4,1000,1000,1,gbt,10,1,500,50,3397,158,3650,3.0,16.0
4,1000,2000,1,logistic,10,1,500,50,951,10,1126,,
4,1000,2000,1,gbt,10,1,500,50,3659,169,3968,3.0,16.0
4,1000,4000,1,logistic,10,1,500,50,752,10,862,,
4,1000,4000,1,gbt,10,1,500,50,3553,157,3821,3.0,16.0
4,1000,6000,1,logistic,10,1,500,50,644,8,742,,
4,1000,6000,1,gbt,10,1,500,50,3397,155,3695,3.0,16.0
4,1000,10000,1,logistic,10,1,500,50,555,9,655,,
4,1000,10000,1,gbt,10,1,500,50,3577,154,3836,3.0,16.0
4,1000,16000,1,logistic,10,1,500,50,542,16,640,,
4,1000,16000,1,gbt,10,1,500,50,3329,175,3622,3.0,16.0
4,2000,1000,1,logistic,10,1,500,50,544,9,659,,
4,2000,1000,1,gbt,10,1,500,50,3423,154,3660,3.0,16.0
4,2000,2000,1,logistic,10,1,500,50,633,12,731,,
4,2000,2000,1,gbt,10,1,500,50,3380,160,3636,3.0,16.0
4,2000,4000,1,logistic,10,1,500,50,676,12,776,,
4,2000,4000,1,gbt,10,1,500,50,3482,165,3746,3.0,16.0
4,2000,6000,1,logistic,10,1,500,50,522,10,622,,
4,2000,6000,1,gbt,10,1,500,50,3465,167,3720,3.0,16.0
4,2000,10000,1,logistic,10,1,500,50,774,10,892,,
4,2000,10000,1,gbt,10,1,500,50,3561,176,3837,3.0,16.0
4,2000,16000,1,logistic,10,1,500,50,610,9,716,,
4,2000,16000,1,gbt,10,1,500,50,3449,154,3686,3.0,16.0
4,4000,1000,1,logistic,10,1,500,50,771,8,878,,
4,4000,1000,1,gbt,10,1,500,50,3395,239,3721,3.0,16.0
4,4000,2000,1,logistic,10,1,500,50,505,8,597,,
4,4000,2000,1,gbt,10,1,500,50,3373,154,3619,3.0,16.0
4,4000,4000,1,logistic,10,1,500,50,506,8,606,,
4,4000,4000,1,gbt,10,1,500,50,3311,157,3556,3.0,16.0
4,4000,6000,1,logistic,10,1,500,50,656,8,749,,
4,4000,6000,1,gbt,10,1,500,50,3260,161,3502,3.0,16.0
4,4000,10000,1,logistic,10,1,500,50,527,9,621,,
4,4000,10000,1,gbt,10,1,500,50,3290,156,3530,3.0,16.0
4,4000,16000,1,logistic,10,1,500,50,499,8,643,,
4,4000,16000,1,gbt,10,1,500,50,3261,166,3513,3.0,16.0
4,6000,1000,1,logistic,10,1,500,50,686,8,778,,
4,6000,1000,1,gbt,10,1,500,50,3269,154,3523,3.0,16.0
4,6000,2000,1,logistic,10,1,500,50,748,9,893,,
4,6000,2000,1,gbt,10,1,500,50,3305,160,3550,3.0,16.0
4,6000,4000,1,logistic,10,1,500,50,492,9,601,,
4,6000,4000,1,gbt,10,1,500,50,3339,156,3581,3.0,16.0
4,6000,6000,1,logistic,10,1,500,50,634,8,727,,
4,6000,6000,1,gbt,10,1,500,50,3236,157,3520,3.0,16.0
4,6000,10000,1,logistic,10,1,500,50,815,8,915,,
4,6000,10000,1,gbt,10,1,500,50,3449,158,3694,3.0,16.0
4,6000,16000,1,logistic,10,1,500,50,726,9,854,,
4,6000,16000,1,gbt,10,1,500,50,3566,163,3822,3.0,16.0
4,10000,1000,1,logistic,10,1,500,50,620,26,745,,
4,10000,1000,1,gbt,10,1,500,50,3376,153,3615,3.0,16.0
4,10000,2000,1,logistic,10,1,500,50,598,9,723,,
4,10000,2000,1,gbt,10,1,500,50,3347,162,3608,3.0,16.0
4,10000,4000,1,logistic,10,1,500,50,736,8,870,,
4,10000,4000,1,gbt,10,1,500,50,3290,165,3549,3.0,16.0
4,10000,6000,1,logistic,10,1,500,50,576,8,675,,
4,10000,6000,1,gbt,10,1,500,50,3402,154,3659,3.0,16.0
4,10000,10000,1,logistic,10,1,500,50,661,13,768,,
4,10000,10000,1,gbt,10,1,500,50,3390,159,3635,3.0,16.0
4,10000,16000,1,logistic,10,1,500,50,558,12,654,,
4,10000,16000,1,gbt,10,1,500,50,3375,157,3641,3.0,16.0
4,16000,1000,1,logistic,10,1,500,50,502,8,677,,
4,16000,1000,1,gbt,10,1,500,50,3334,164,3601,3.0,16.0
4,16000,2000,1,logistic,10,1,500,50,703,8,810,,
4,16000,2000,1,gbt,10,1,500,50,3340,154,3615,3.0,16.0
4,16000,4000,1,logistic,10,1,500,50,563,8,657,,
4,16000,4000,1,gbt,10,1,500,50,3359,164,3624,3.0,16.0
4,16000,6000,1,logistic,10,1,500,50,754,8,852,,
4,16000,6000,1,gbt,10,1,500,50,3408,158,3650,3.0,16.0
4,16000,10000,1,logistic,10,1,500,50,781,9,892,,
4,16000,10000,1,gbt,10,1,500,50,3440,153,3683,3.0,16.0
4,16000,16000,1,logistic,10,1,500,50,811,13,918,,
4,16000,16000,1,gbt,10,1,500,50,3572,159,3816,3.0,16.0
6,1000,1000,1,logistic,10,1,500,50,747,12,844,,
6,1000,1000,1,gbt,10,1,500,50,3416,157,3661,3.0,16.0
6,1000,2000,1,logistic,10,1,500,50,663,10,804,,
6,1000,2000,1,gbt,10,1,500,50,3384,178,3660,3.0,16.0
6,1000,4000,1,logistic,10,1,500,50,795,12,902,,
6,1000,4000,1,gbt,10,1,500,50,3308,155,3544,3.0,16.0
6,1000,6000,1,logistic,10,1,500,50,584,7,696,,
6,1000,6000,1,gbt,10,1,500,50,3526,273,3905,3.0,16.0
