cores,executor_memory_size,driver_memory_size,instances,model_type,max_iter,parallelism,max_memory,accuracy,training_time,prediction_time,total_time,max_depth,max_bins
8,6000,10000,1,gbt,10,1,500,50,3467,176,3736,3.0,16.0
8,6000,16000,1,logistic,10,1,500,50,674,14,816,,
8,6000,16000,1,gbt,10,1,500,50,3289,181,3572,3.0,16.0
8,10000,1000,1,logistic,10,1,500,50,552,13,698,,
8,10000,1000,1,gbt,10,1,500,50,3336,185,3658,3.0,16.0
8,10000,2000,1,logistic,10,1,500,50,605,10,759,,
8,10000,2000,1,gbt,10,1,500,50,3269,183,3567,3.0,16.0
8,10000,4000,1,logistic,10,1,500,50,530,12,635,,
8,10000,4000,1,gbt,10,1,500,50,3384,215,3705,3.0,16.0
8,10000,6000,1,logistic,10,1,500,50,571,10,707,,
8,10000,6000,1,gbt,10,1,500,50,3350,178,3647,3.0,16.0
8,10000,10000,1,logistic,10,1,500,50,570,11,717,,
8,10000,10000,1,gbt,10,1,500,50,3363,185,3643,3.0,16.0
8,10000,16000,1,logistic,10,1,500,50,558,10,700,,
8,10000,16000,1,gbt,10,1,500,50,3317,174,3646,3.0,16.0
8,16000,1000,1,logistic,10,1,500,50,530,10,651,,
8,16000,1000,1,gbt,10,1,500,50,3509,184,3802,3.0,16.0
8,16000,2000,1,logistic,10,1,500,50,776,10,897,,
8,16000,2000,1,gbt,10,1,500,50,3405,174,3716,3.0,16.0
8,16000,4000,1,logistic,10,1,500,50,543,10,650,,
8,16000,4000,1,gbt,10,1,500,50,3406,177,3689,3.0,16.0
8,16000,6000,1,logistic,10,1,500,50,580,10,726,,
8,16000,6000,1,gbt,10,1,500,50,3979,184,4270,3.0,16.0
8,16000,10000,1,logistic,10,1,500,50,654,11,762,,
8,16000,10000,1,gbt,10,1,500,50,3736,185,4045,3.0,16.0
8,16000,16000,1,logistic,10,1,500,50,872,18,1021,,
8,16000,16000,1,gbt,10,1,500,50,3677,178,4011,3.0,16.0
